word;type;trans;exampl
Dose;Noun;Can;<<Ich habe eine Dose Erbsen in der Speisekammer.>> (I have a can of peas in the pantry.)
Druck;Noun;Pressure;<<Der Druck in der Arbeitswelt kann manchmal hoch sein.>> (The pressure in the work environment can sometimes be high.)
Durst;Noun;Thirst;<<Ich habe großen Durst nach einem langen Lauf.>> (I am very thirsty after a long run.)
Ei;Noun;Egg;<<Kannst du bitte ein Ei für mich kochen?>> (Can you please cook an egg for me?)
Eis;Noun;Ice;<<Im Sommer esse ich gerne ein erfrischendes Eis.>> (In summer, I enjoy eating a refreshing ice cream.)
Ente;Noun;Duck;<<Die Enten schwimmen im Teich.>> (The ducks are swimming in the pond.)
Erde;Noun;Earth;<<Die Erde ist unser Planet.>> (The Earth is our planet.)
Fahrzeug;Noun;Vehicle;<<Das Auto ist ein häufig verwendetes Fahrzeug.>> (The car is a commonly used vehicle.)
Familie;Noun;Family;<<Meine Familie bedeutet mir sehr viel.>> (My family means a lot to me.)
Feuer;Noun;Fire;<<Das Feuer im Kamin knistert gemütlich.>> (The fire in the fireplace crackles cozily.)
Fisch;Noun;Fish;<<Ich esse gerne Fisch, besonders Lachs.>> (I enjoy eating fish, especially salmon.)
Flasche;Noun;Bottle;<<Kannst du bitte eine Flasche Wasser aus dem Kühlschrank holen?>> (Can you please fetch a bottle of water from the fridge?)
Flugzeug;Noun;Airplane;<<Ich fliege mit dem Flugzeug in den Urlaub.>> (I am flying by airplane for my vacation.)
Frosch;Noun;Frog;<<Der Frosch quakt laut im Teich.>> (The frog croaks loudly in the pond.)
Frühling;Noun;Spring;<<Im Frühling blühen die Blumen wieder auf.>> (In spring, the flowers bloom again.)
Fuß;Noun;Foot;<<Meine Füße tun nach dem langen Spaziergang weh.>> (My feet hurt after the long walk.)
Garten;Noun;Garden;<<Ich arbeite gerne in meinem Garten.>> (I enjoy working in my garden.)
Geburtstag;Noun;Birthday;<<Heute ist mein Geburtstag.>> (Today is my birthday.)
Geld;Noun;Money;<<Ich muss Geld abheben, um Rechnungen zu bezahlen.>> (I need to withdraw money to pay bills.)
Geschenk;Noun;Gift;<<Das Geschenk war sehr liebevoll verpackt.>> (The gift was beautifully wrapped.)
Gesicht;Noun;Face;<<Sie hat ein hübsches Gesicht.>> (She has a pretty face.)
Glas;Noun;Glass;<<Trinkst du Wasser aus einem Glas oder einer Flasche?>> (Do you drink water from a glass or a bottle?)
Glocke;Noun;Bell;<<Die Glocke läutet zur Messe.>> (The bell rings for the mass.)
Gras;Noun;Grass;<<Das Gras ist frisch gemäht.>> (The grass is freshly mowed.)
Grippe;Noun;Flu;<<Ich habe mich mit der Grippe angesteckt.>> (I caught the flu.)
Großeltern;Noun;Grandparents;<<Meine Großeltern sind sehr lieb.>> (My grandparents are very kind.)
Hahn;Noun;Rooster;<<Der Hahn kräht früh am Morgen.>> (The rooster crows early in the morning.)
Haus;Noun;House;<<Unser Haus hat einen großen Garten.>> (Our house has a big garden.)
Himmel;Noun;Sky;<<Der Himmel ist heute wolkenlos.>> (The sky is cloudless today.)
Hund;Noun;Dog;<<Mein Hund ist mein treuer Begleiter.>> (My dog is my loyal companion.)
Hunger;Noun;Hunger;<<Ich habe großen Hunger nach dem Training.>> (I am very hungry after the workout.)
Jahr;Noun;Year;<<Das Jahr hat 365 Tage.>> (The year has 365 days.)
Kaffee;Noun;Coffee;<<Morgens trinke ich immer eine Tasse Kaffee.>> (I always have a cup of coffee in the morning.)
Käse;Noun;Cheese;<<Ich esse gerne Käse auf meinem Brot.>> (I enjoy eating cheese on my bread.)
Keller;Noun;Basement;<<Die Weinkeller sind kühl und dunkel.>> (The wine cellars are cool and dark.)
Kinder;Noun;Children;<<Die Kinder spielen fröhlich im Park.>> (The children are playing happily in the park.)
Kino;Noun;Cinema;<<Lass uns ins Kino gehen und einen Film anschauen.>> (Let's go to the cinema and watch a movie.)
Kleid;Noun;Dress;<<Sie trägt ein schönes Kleid zur Party.>> (She is wearing a beautiful dress to the party.)
Kochen;Verb;To cook;<<Ich liebe es, zu kochen und neue Rezepte auszuprobieren.>> (I love to cook and try out new recipes.)
Kopf;Noun;Head;<<Ich habe Kopfschmerzen und brauche eine Aspirin.>> (I have a headache and need an aspirin.)
Küche;Noun;Kitchen;<<Die Küche ist der Ort, an dem ich gerne koche.>> (The kitchen is the place where I enjoy cooking.)
Kühlschrank;Noun;Refrigerator;<<Bitte lege die Milch in den Kühlschrank.>> (Please put the milk in the refrigerator.)
Kunst;Noun;Art;<<Die Malerei ist eine Form der Kunst.>> (Painting is a form of art.)
Lächeln;Verb;To smile;<<Sie lächelte, als sie das Geschenk sah.>> (She smiled when she saw the gift.)
Lampe;Noun;Lamp;<<Die Lampe gibt warmes Licht im Raum.>> (The lamp gives warm light in the room.)
Landschaft;Noun;Landscape;<<Die Landschaft ist wunderschön mit den grünen Hügeln.>> (The landscape is beautiful with the green hills.)
Laptop;Noun;Laptop;<<Ich arbeite oft auf meinem Laptop.>> (I often work on my laptop.)
Laufen;Verb;To run;<<Ich gehe jeden Morgen laufen, um fit zu bleiben.>> (I go running every morning to stay fit.)
Leben;Noun;Life;<<Das Leben ist voller Überraschungen.>> (Life is full of surprises.)
Lehrer;Noun;Teacher;<<Der Lehrer unterrichtet Mathematik.>> (The teacher teaches mathematics.)
Leicht;Adjective;Light;<<Das Gepäck ist leicht und einfach zu tragen.>> (The luggage is light and easy to carry.)
Leiter;Noun;Ladder;<<Er kletterte die Leiter hoch, um das Fenster zu reparieren.>> (He climbed the ladder to fix the window.)
Lernen;Verb;To learn;<<Ich lerne gerne neue Dinge und erweitere mein Wissen.>> (I enjoy learning new things and expanding my knowledge.)
Lesen;Verb;To read;<<Sie liebt es, Bücher zu lesen und in andere Welten einzutauchen.>> (She loves to read books and immerse herself in other worlds.)
Leute;Noun;People;<<Die Leute sind unterschiedlich und einzigartig.>> (People are diverse and unique.)
Liebe;Noun;Love;<<Die Liebe ist ein starkes Gefühl.>> (Love is a strong emotion.)
